taxonomy	MetaAn_1	MetaAn_10	MetaAn_11	MetaAn_12	MetaAn_13	MetaAn_14	MetaAn_15	MetaAn_16	MetaAn_17	MetaAn_18	MetaAn_19	MetaAn_2	MetaAn_20	MetaAn_21	MetaAn_22	MetaAn_23	MetaAn_24	MetaAn_25	MetaAn_26	MetaAn_27	MetaAn_28	MetaAn_29	MetaAn_3	MetaAn_30	MetaAn_31	MetaAn_32	MetaAn_33	MetaAn_34	MetaAn_35	MetaAn_36	MetaAn_37	MetaAn_38	MetaAn_39	MetaAn_4	MetaAn_40	MetaAn_41	MetaAn_43	MetaAn_44	MetaAn_45	MetaAn_46	MetaAn_47	MetaAn_48	MetaAn_49	MetaAn_5	MetaAn_50	MetaAn_53	MetaAn_54	MetaAn_55	MetaAn_56	MetaAn_57	MetaAn_58	MetaAn_59	MetaAn_6	MetaAn_60	MetaAn_61	MetaAn_62	MetaAn_63	MetaAn_64	MetaAn_65	MetaAn_66	MetaAn_67	MetaAn_68	MetaAn_69	MetaAn_7	MetaAn_70	MetaAn_71	MetaAn_72	MetaAn_73	MetaAn_74	MetaAn_75	MetaAn_76	MetaAn_77	MetaAn_78	MetaAn_79	MetaAn_8	MetaAn_80	MetaAn_81	MetaAn_82	MetaAn_83	MetaAn_84	MetaAn_9
Anaerolineaceae	0	0.1	0	0	0	0	0	0	0	0	0	0.71	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03	0.11	0	0	0	0	0	0	0	0	0	0.05	0.15	0	0.17	0	0	0
UBA6265	0.1	0.13	0	0	0	0.08	0.11	0.13	2.37	2.78	1.58	0.07	0.56	0.65	1	0.04	1.38	1.19	2.38	1.8	7.28	1.85	0.36	1.81	1.26	2.18	2.02	2.41	1.7	1.3	1.66	1.35	0.86	0.24	1.8	1.23	1.87	1.52	1.03	1.45	1.01	0	0	0.19	0.4	0.2	0.59	0.37	0.29	0.32	0.65	0	0.52	0	0	0.78	0.03	0.09	0.88	0.16	0.05	0.03	0	0.07	0	0.09	0	1.49	1.94	0	0	0.03	0	0	0.1	0.08	0.04	0.02	0	0	0.03
Tepidiformaceae	0.04	0.03	0.13	0	0	0.19	0.11	0	0.02	0	0.29	0	0	0.08	0.17	0	0	0	0	0	0.09	0.07	0	0	0.05	0	0	0	0.04	0	0	0	0.03	0.19	0	0	0	0	0.03	0	0.03	0	0.18	0.15	0.05	0	0	0	0	0.1	0	0	0.23	0	0	0.02	0	0.15	0.1	0	0.16	0	0.05	0	0	0.19	0	0	0	0.16	0	0	0.1	0.1	0.02	0.2	0.21	0.41	0.03	0.26	0.4
Pirellulaceae	0	0.08	0.52	1.91	1.62	0.09	0	0	0.1	0.05	0.22	0.42	1.44	0.35	0.19	1.68	0.06	0.08	0	0	0.51	0.01	0.07	0.05	0.08	0.03	0.03	0.02	0.04	0	0.12	0	0.1	0.36	0.04	0	0.12	0.07	0.4	0.12	0	0.71	0	0.18	0.22	0.46	0.15	0	0.17	0.29	0.36	0	0.22	0.19	0.06	0.16	0.18	0.31	0.31	0	0.94	3.5	0.15	0.04	0	0.25	0.09	0	0.07	0.32	0	0.05	0.4	0.39	0	0.53	0.08	0.29	0.15	0.73	0
Phycisphaeraceae	0	0.13	0	0	0	0	0	0	0.01	0.02	0	0	0	0.03	0.03	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.02	0	0	0.03	0	0	0	0	0.03	0	0	0	0	0.02	0.05	0	0.05	0	0	0.05	0	0	0.09	0	0.03	0.01	0.03	0	0.03	0	0.2	0.16	0.02	0	0	0	0	0	0.01	0.06	0	0	0.06	0.1	0	0.08	0.06	0.23	0.05	0.12	0.05
UBA1924	0	0.03	0.18	0.06	0.12	0	0	0	0.02	0	0	0	0	0.31	0	0.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.06	0.28	0.02	0	0	0	0	0	0.33	0.15	0.25	0	0	0	0	0	0	0.04	0	0	0.19	0.2	0	0.21	0	0.01	0.02	0.2	0
Desulfuromonadaceae	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfocapsaceae	0	0.03	0	0	0	0	0	0	0	0	0	0.52	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0.07	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0.1	0	0	0
Sphingomonadaceae	0.08	0.04	3.84	0.44	0.42	6.01	6.26	4.01	1.9	1.76	1.86	1.74	7.19	5.71	4.06	5.92	2.35	7.51	6.46	0.66	8.58	2.13	0.42	1.26	0.59	0.66	1.12	2.08	3.59	0.69	1.99	0.86	1.77	4.29	0.52	0.47	0.82	1.27	5.28	1.35	9.56	1.04	1.13	0.58	3.55	20.26	11.53	0.69	7.31	14.08	42.24	0.35	1.99	6.35	0.03	1.75	1.73	9.01	5.8	0.11	1.95	2.72	0.23	0.03	1.17	2.13	0	11.49	2.37	5.12	0.93	1.04	3.81	0.27	0.03	4.69	1.34	0.81	0.34	3.8	0.09
Govaniaceae	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodobacteraceae	0.1	0.62	0.09	9.88	11.27	0.07	0.13	0.18	0.06	0	0.17	0.89	1.34	0.94	0.59	1.58	0.16	0.4	0.08	0.08	0.45	0.03	1.12	0.07	0.06	0.02	0.03	0.09	0.06	0	0.07	0.03	0.11	0.38	0.22	0.09	0.16	0.13	0.24	0.04	0.05	0.16	0	0.05	0.17	2.93	0	0	0	0.28	0.78	0	0.02	0.39	0.02	0.56	4.03	0.89	0.24	0.12	3.21	2.41	0.05	0.5	0.48	0	0.62	0.05	0.03	0.14	0	0.06	0.05	0.1	0.11	0.48	0	0.2	0.04	0.1	0.06
