unifrac.S3.10.ribosomal_protein_S19_rpsS.unifrac	Richness R	Shannon H	Simpson λ	Simpson dominance 1/λ	Gini 1-λ	Pielou J	Hmax	Efficiency η	
shotgun_illumina_1st_ARH_ECA53_filtp_woHU_1	374	5.8493408156371	0.00335486348532447	298.074721780604	0.996645136514676	0.987354532900128	5.92425579741453	0.987354532900129	
shotgun_illumina_1st_COP_ECA53_filtp_woHU_1	342	5.55740807969923	0.00603165029126522	165.792105263158	0.993968349708735	0.952457299839852	5.8348107370626	0.952457299839842	
shotgun_illumina_1st_DEH_ECA53_filtp_woHU_1	392	5.66736486809814	0.00575129283263259	173.873949579831	0.994248707167367	0.949106741615775	5.97126183979046	0.949106741615771	
shotgun_illumina_1st_DEP_ECA53_filtp_woHU_1	406	5.94950568068006	0.00286214703746424	349.388059701491	0.997137852962536	0.990535441821166	6.00635315960173	0.990535441821165	
shotgun_illumina_2nd_BARR2_ECA53_filtp_woHU_1	380	5.87335633109322	0.0031247463679896	320.025974025975	0.99687525363201	0.988752020979764	5.94017125272043	0.988752020979768	
shotgun_illumina_2nd_PRH_ECA55_filtp_woHU_1	491	6.13875731986239	0.00237730086426495	420.645116918844	0.997622699135735	0.990690336789551	6.19644412779452	0.990690336789545	
shotgun_illumina_2nd_PRP_ECA55_filtp_woHU_1	372	5.37603226539046	0.0193900689527514	51.572792362768	0.980609931047249	0.908283270109539	5.91889385427315	0.908283270109541	
shotgun_illumina_3rd_ARH_ECA55_filtp_woHU_1	852	6.36876722571879	0.0032855716985768	304.361034164364	0.996714428301423	0.943858548592999	6.74758652682932	0.943858548593018	
shotgun_illumina_3rd_COP_ECA55_filtp_woHU_1	1033	6.72389960591589	0.00164251406962798	608.822790922268	0.998357485930372	0.968830557785969	6.94022246911964	0.968830557785982	
shotgun_illumina_3rd_DEP_ECA55_filtp_woHU_1	1095	6.81760432496027	0.00157989726502847	632.9525483304	0.998420102734972	0.974150879753285	6.9985096422506	0.974150879753286	
unifrac.S3.12.ribosomal_L1.unifrac	Richness R	Shannon H	Simpson λ	Simpson dominance 1/λ	Gini 1-λ	Pielou J	Hmax	Efficiency η	
CS1_filtp_woHU_1	145	4.62417709614552	0.015844286032524	63.1142355008786	0.984155713967476	0.929159029893453	4.97673374242057	0.929159029893455	
ERR4182668_filtp_woHU_1	430	5.09960037885803	0.0148590714263294	67.2989563956236	0.985140928573671	0.84099291174625	6.06378520868761	0.840992911746251	
ERR4182669_filtp_woHU_1	534	5.78640186848908	0.00709342221350845	140.975677169708	0.992906577786491	0.921343497585512	6.2803958389602	0.921343497585516	
ERR4182670_filtp_woHU_1	656	5.63356628366941	0.0100930709582187	99.0778727445395	0.989906929041781	0.86855174686265	6.48616078894409	0.868551746862643	
ERR4182673_filtp_woHU_1	766	6.54700550802657	0.00166364870982347	601.088435374144	0.998336351290177	0.985819292513444	6.64118216974059	0.98581929251345	
ERR4183043_filtp_woHU_1	762	6.37019799055647	0.00261980549046092	381.707727402336	0.997380194509539	0.959953178811779	6.63594655568665	0.959953178811767	
